2017-06-27 07:26:47,705 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5e3a8624: startup date [Tue Jun 27 07:26:47 UTC 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-06-27 07:26:49,170 | INFO  | PListStore:[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-06-27 07:26:49,206 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:26:49,453 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37547-1498548409324-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:26:49,494 | INFO  | Listening for connections at: tcp://ip-172-31-1-69:61636?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 07:26:49,496 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 07:26:49,500 | INFO  | Listening for connections at: amqp://ip-172-31-1-69:5692?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 07:26:49,501 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 07:26:49,503 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37547-1498548409324-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:26:49,503 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:26:49,504 | WARN  | Store limit is 102400 mb, whilst the data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/kahadb only has 6426 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:26:49,504 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage only has 6426 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:26:50,391 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:26:50,662 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:26:50,777 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-06-27 07:26:51,334 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-06-27 07:29:23,316 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37547-1498548409324-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-16
2017-06-27 07:29:23,593 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-16
2017-06-27 07:29:23,670 | INFO  | Connector amqp Stopped | org.apache.activemq.broker.TransportConnector | Thread-16
2017-06-27 07:29:23,673 | INFO  | PListStore:[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-16
2017-06-27 07:29:23,673 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2017-06-27 07:29:23,673 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2017-06-27 07:29:23,674 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2017-06-27 07:29:24,079 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37547-1498548409324-0:1) uptime 2 minutes | org.apache.activemq.broker.BrokerService | Thread-16
2017-06-27 07:29:24,080 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37547-1498548409324-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-16
2017-06-27 07:29:24,080 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@5e3a8624: startup date [Tue Jun 27 07:26:47 UTC 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-16
2017-06-27 07:29:24,113 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-16
